Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Psycholog"; "Biłgoraj, lubelskie"; "Umowa o pracę na okres próbny"; "FUNDACJA BAMBINI DZIECIOM"; "2025-07-25"; 
"PSYCHOLOG"; "Kowiesy, łódzkie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA KOWIESY"; "2025-04-08"; 
"PSYCHOLOG"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na czas określony"; "PUBLICZNA PORADNIA PSYCHOLOGICZNO-PEDAGOGICZNA"; "2025-06-12"; 
"PSYCHOLOG"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na czas określony"; "PUBLICZNA SZKOŁA PODSTAWOWA NR 11"; "2025-06-13"; 
"PSYCHOLOG"; "Łany, opolskie"; "Umowa o pracę na czas określony"; "GMINNE PRZEDSZKOLE W ŁANACH"; "2025-06-17"; 
"PSYCHOLOG"; "Słupia pod Kępnem, wielkopolskie"; "Umowa o pracę na okres próbny"; "CARITAS DIECEZJI KALISKIEJ"; "2025-07-01"; 
"PSYCHOLOG"; "Rokietnica, wielkopolskie"; "Umowa o pracę na czas określony"; "PRZEDSZKOLE ""PTASIE RADIO"" W ROKIETNICY"; "2025-07-15"; 
"PSYCHOLOG"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na czas określony"; "PUBLICZNE PRZEDSZKOLE NR 13"; "2025-07-18"; 
"PSYCHOLOG"; "Mizerów, śląskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W MIZEROWIE"; "2025-07-24"; 
"Psycholog (nr 1567)"; "Bydgoszcz, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ ŻŁOBKÓW MIEJSKICH W BYDGOSZCZY"; "2025-07-03"; 
"Psycholog (nr 1701)"; "Bydgoszcz, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ ŻŁOBKÓW MIEJSKICH W BYDGOSZCZY"; "2025-07-21"; 
"Psycholog (nr 1758)"; "Bydgoszcz, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "PRYWATNE LICEUM OGÓLNOKSZTAŁCĄCE ""PRZYSZŁOŚĆ"" W BYDGOSZCZY"; "2025-07-25"; 
"Psycholog  (9/22) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "PRZEDSZKOLE NR 189 „NA WIERZBNIE”"; "2025-07-17"; 
"Psycholog -  Przedszkole Majka"; "Iława, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Fundacja Rozwoju Warmii i Mazur"; "2025-07-15"; 
"Psycholog - 3/22"; "Iława, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Przedszkole Miejskie NR 4 IM: Chatka Przyjaciół Kubusia Puchatka w Iławie"; "2025-07-02"; 
"Psycholog - I Liceum Ogólnokształcące CN-B im.Polskich Spadochroniarzy w Iławie  - 10 godzin/tydzień"; "Iława, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Centrum Naukowo-Biznesowe FENIKS Spółka Cywilna"; "2025-07-14"; 
"PSYCHOLOG - KONSULT. D-CY DS.PROFILAKT.PSYCHOLOG."; "Ciechanów, mazowieckie"; "Umowa o pracę na okres próbny"; "5 MAZOWIECKA BRYGADA OBRONY TERYTOTIALNEJ"; "2025-07-04"; 
"Psycholog - konsultant dowódcy do spraw profilaktyki psychologicznej"; "Limanowa, małopolskie"; "Umowa o pracę na okres próbny"; "11 MAŁOPOLSKA BRYGADA OBRONY TERYTORIALNEJ"; "2025-07-02"; 
"Psycholog - konsultant dowódcy ds profilaktyki psychologicznej"; "Augustów, podlaskie"; "Umowa o pracę na okres próbny"; "25 Wojskowy Oddział Gospodarczy w Białymstoku"; "2025-07-15"; 
"Psycholog - konsultant Dowódcy ds. Profilaktyki Psychologicznej"; "Ełk, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Jednostka Wojskowa 5940"; "2025-07-21"; 
"Psycholog - Konsultant Dowódcy ds. profilaktyki psychologicznej"; "Lipowiec, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "22 Wojskowy Oddział Gospodarczy w Olsztynie"; "2025-07-14"; 
"PSYCHOLOG - KONSULTANT DOWÓDCY DS. PROFILAKTYKI PSYCHOLOGICZNEJ"; "Wojewodzin, podlaskie"; "Umowa o pracę na czas określony"; "2 Brygada Zmotoryzowana Legionów Jednostka Wojskowa 5658"; "2025-07-16"; 
"Psycholog - Opiekun Wychowawca"; "Szczecin, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "STOWARZYSZENIE ZROZUMIEĆ"; "2025-07-11"; 
"Psycholog - terapeuta"; "Chełm, lubelskie"; "Umowa o pracę na czas nieokreślony"; "PIEL-MED.PLUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-06-30"; 
"psycholog - wczesne wspomaganie rozwoju dziecka"; "Pszczyna, śląskie"; "Umowa o pracę na czas określony"; "Zespół Szkół nr 3 Specjalnych im. J. Korczaka w Pszczynie"; "2025-07-16"; 
"Psycholog -10/20 etatu"; "Boreczno, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa w Borecznie"; "2025-03-24"; 
"Psycholog ( 13h/ tygodniowo)"; "Sandomierz, świętokrzyskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Gastronomicznych i Hotelarskich im. Komisji Edukacji Narodowej w Sandomierzu"; "2025-07-03"; 
"Psycholog (1/2 etatu)"; "Rogoźno, wielkopolskie"; "Umowa o pracę na czas określony"; "Przedszkole nr 1 im. Kubusia Puchatka"; "2025-07-23"; 
"PSYCHOLOG (1/3 ETATU)"; "Opolnica, dolnośląskie"; "Umowa o pracę na okres próbny"; "WARSZTATY TERAPII ZAJĘCIOWEJ PRZY DOMU POMOCY SPOŁECZNEJ"; "2025-07-02"; 
"Psycholog (11/22)"; "Łęczna, lubelskie"; "Umowa o pracę na czas określony"; "PRZEDSZKOLE PUBLICZNE NR 3"; "2025-06-30"; 
"psycholog (nr 1197)"; "Inowrocław, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "POLICEALNE STUDIUM ZAWODOWE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-01"; 
"Psycholog (O)"; "Tarnów, małopolskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Technicznych im. Ignacego Mościckiego w Tarnowie"; "2025-07-04"; 
"Psycholog (O)"; "Łękawica, małopolskie"; "Umowa o pracę na czas nieokreślony"; "SZKOŁA PODSTAWOWA IM. BOHATERÓW WESTERPLATTE W ŁĘKAWICY"; "2025-07-11"; 
"Psycholog (O)"; "Tarnów, małopolskie"; "Umowa o pracę na czas określony"; "Przedszkole Publiczne Nr 19 w Tarnowie"; "2025-07-14"; 
"Psycholog (O)"; "Lubcza, małopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA W WOLI LUBECKIEJ"; "2025-07-14"; 
"Psycholog (O)"; "Joniny, małopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W JONINACH"; "2025-07-18"; 
"Psycholog (pensum 22/22) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę w zastępstwie"; "Ośrodek Szkolno-Wychowawczy dla Głuchych w Warszawie"; "2025-07-01"; 
"Psycholog (PL/UA)"; "Lędziny, śląskie"; "Umowa o pracę na okres próbny"; "Caritas Archidiecezji Katowickiej Ośrodek Bł. Karolina"; "2025-07-08"; 
"Psycholog / Terapeuta środowiskowy"; "Łęczna, lubelskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "NZOZ VIAMED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-09"; 
"Psycholog /13 godzin tygodniowo/"; "Lubawa, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Przedszkole Publiczne ""BAJKOLANDIA"""; "2025-04-14"; 
"Psycholog /Lubawa/"; "Lubawa, warmińsko-mazurskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PRYWATNA PRAKTYKA SPECJALISTYCZNA GABINET PSYCHOLOGICZNO-TERAPEUTYCZNY WIOLETA NISZCZAK"; "2025-06-12"; 
"Psycholog 1/2 etatu"; "Dąbrowa Górnicza, śląskie"; "Umowa o pracę na okres próbny"; "ŚRODOWISKOWY DOM SAMOPOMOCY W DĄBROWIE GÓRNICZEJ"; "2025-07-04"; 
"Psycholog 1/2 etetu"; "Cienin Zaborny, wielkopolskie"; "Umowa o pracę w zastępstwie"; "Zespół Szkolno-Przedszkolny w Cieninie Zabornym"; "2025-07-11"; 
"Psycholog 1/4 etatu"; "Bielsko-Biała, śląskie"; "Umowa o pracę na czas określony"; "Dom Pomocy Społecznej ""Przystań"""; "2025-07-01"; 
"Psycholog 10/20 etatu"; "Czechowice-Dziedzice, śląskie"; "Umowa o pracę na czas określony"; """PRZEDSZKOLE PUBLICZNE NR 5"" Czechowice-Dziedzice"; "2025-07-08"; 
"Psycholog 11/22 etatu"; "Szczyrk, śląskie"; "Umowa o pracę na czas określony"; "Przedszkole Publiczne w Szczyrku"; "2025-07-24"; 
"Psycholog 14/22"; "Iłowo-Osada, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Nr 1 im. Mikołaja Kopernika w Iłowie-Osadzie"; "2025-07-23"; 
"psycholog dziecięcy"; "Kraków, małopolskie"; "Umowa o pracę na czas określony"; "OPEN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-04"; 
"Psycholog dziecięcy"; "Białystok, podlaskie"; "Umowa o pracę na okres próbny"; "PRZEDSZKOLE SAMORZĄDOWE NR 77 W BIAŁYMSTOKU"; "2025-07-04"; 
"Psycholog dziecięcy (O)"; "Zakliczyn, małopolskie"; "Umowa o pracę na czas określony"; "JADWIGA MARTYKA-ROJEK LANGUAGE SOLUTIONS Centrum Języków Obcych"; "2025-07-09"; 
"Psycholog K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "ZESPÓŁ DO OBSŁUGI PLACÓWEK OPIEKUŃCZO WYCHOWAWCZYCH NR 3"; "2025-07-16"; 
"Psycholog K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas nieokreślony"; "CENTRUM ALZHEIMERA"; "2025-07-25"; 
"Psycholog kliniczny"; "Maków Mazowiecki, mazowieckie"; "Umowa o pracę na czas określony"; "ANIMUS Ośrodek Środowiskowej Opieki Psychologicznej i Psychoterapeutycznej dla Dzieci i Młodzieży"; "2025-07-02"; 
"Psycholog nauczyciel"; "Piechcin, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Przedszkole Piechcin"; "2025-07-21"; 
"Psycholog OfPr/25/195"; "Mszana Górna, małopolskie"; "Umowa o pracę na czas określony"; "Zespół Szkoły i Przedszkola w Mszanie Górnej"; "2025-03-03"; 
"psycholog Ośrodka"; "Skawina, małopolskie"; "Umowa o pracę na czas określony"; "Specjalny Ośrodek Szkolno-Wychowawczy im. Poczty Polskiej w Skawinie"; "2025-07-07"; 
"Psycholog przedszkolny (pensum 8/22) K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "PRZEDSZKOLE NR 83"; "2025-07-01"; 
"Psycholog R124/1064-426/25"; "Włocławek, kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "POLSKI KOMITET POMOCY SPOŁECZNEJ ZARZĄD REJONOWY WE WŁOCŁAWKU"; "2025-04-29"; 
"Psycholog R98/1038-400/25"; "Włocławek, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "PLACÓWKA OPIEKUŃCZO-WYCHOWAWCZA NR 1 ""MALUCH"""; "2025-04-29"; 
"psycholog szkolny"; "Głębowice, dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "Szkoła Podstawowa im. Jana Adama de Garnier w Głębowicach"; "2024-07-15"; 
"psycholog szkolny"; "Czarne, pomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Ponadpodstawowych im. Jana Pawła II w Czarnem"; "2025-06-27"; 
"psycholog szkolny"; "Kunowice, lubuskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa w Kunowicach im. Kornela Makuszyńskiego"; "2025-07-04"; 
"psycholog szkolny"; "Ratułów, małopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. KS. PROF. JÓZEFA TISCHNERA W RATUŁOWIE"; "2025-07-07"; 
"psycholog szkolny"; "Warzęgowo, dolnośląskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Królowej Jadwigi w Warzęgowie"; "2025-07-09"; 
"psycholog szkolny"; "Smroków, małopolskie"; "Umowa o pracę na czas nieokreślony"; "Zespół Szkół im. Jana Pawła II w Smrokowie"; "2025-07-09"; 
"psycholog szkolny"; "Skała, małopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa nr 1 im.Władysława Łokietka w Skale"; "2025-07-14"; 
"psycholog szkolny"; "Cicibór Duży, lubelskie"; "Umowa o pracę w zastępstwie"; "Szkoła Podstawowa w Ciciborze Dużym"; "2025-07-11"; 
"psycholog szkolny"; "Sitnik, lubelskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-10"; 
"psycholog szkolny"; "Obsza, lubelskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa w Obszy"; "2025-07-16"; 
"psycholog szkolny"; "Damnica, pomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkół w Damnicy"; "2025-07-18"; 
"psycholog szkolny"; "Niedźwiedź, wielkopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Kornela Makuszyńskiego w Niedźwiedziu"; "2025-07-24"; 
"Psycholog szkolny"; "Stara Sobótka, łódzkie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa w Sobótce Starej"; "2025-01-07"; 
"Psycholog szkolny"; "Witnica, lubuskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKOLNO- PRZEDSZKOLNY W WITNICY"; "2025-05-20"; 
"Psycholog szkolny"; "Dobiesław, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Społeczna Szkoła Podstawowa w Dobiesławiu"; "2025-05-28"; 
"Psycholog szkolny"; "Niechlów, dolnośląskie"; "Umowa o pracę na czas określony"; "Zespół: Szkoła Podstawowa im. Armii Krajowej i Przedszkole w Niechlowie"; "2025-06-02"; 
"Psycholog szkolny"; "Dęblin, lubelskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Ogólnokształcących w Dęblinie"; "2025-06-03"; 
"Psycholog szkolny"; "Ostrowite, kujawsko-pomorskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2025-06-05"; 
"Psycholog szkolny"; "Sąpolno, pomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Tajnej Organizacji Wojskowej ""Gryf Pomorski"" w Sąpolnie"; "2025-06-06"; 
"Psycholog szkolny"; "Borzestowo, pomorskie"; "Umowa o pracę na czas nieokreślony"; "Szkoła Podstawowa im. Franciszka Tredera w Borzestowie"; "2025-06-09"; 
"Psycholog szkolny"; "Łomża, podlaskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA NR 1 W ŁOMŻY"; "2025-06-16"; 
"Psycholog szkolny"; "Grobla, małopolskie"; "Umowa o pracę na czas określony"; "PUBLICZNA SZKOŁA PODSTAWOWA IM. W.REYMONTA W GROBLI"; "2025-06-23"; 
"Psycholog szkolny"; "Kęty, małopolskie"; "Umowa o pracę na czas określony"; "NIEPUBLICZNA SZKOŁA PODSTAWOWA RISE Z ODDZIAŁAMI DWUJĘZYCZNYMI"; "2025-06-26"; 
"Psycholog szkolny"; "Wojciechów, opolskie"; "Umowa o pracę na czas określony"; "Zespół Szkolno-Przedszkolny w Wojciechowie"; "2025-06-30"; 
"Psycholog szkolny"; "Dobiesław, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Społeczna Szkoła Podstawowa w Dobiesławiu"; "2025-07-01"; 
"Psycholog szkolny"; "Świdwin, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Publiczna Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 2 im. ppor. Emilii Gierczak"; "2025-07-02"; 
"Psycholog szkolny"; "Radoryż Smolany, lubelskie"; "Umowa o pracę na czas określony"; "Zespół Szkół w Radoryżu Smolanym"; "2025-07-02"; 
"Psycholog szkolny"; "Zakrzów, małopolskie"; "Umowa o pracę na czas określony"; "Zespół Szkolno-Przedszkolny w Zakrzowie"; "2025-07-02"; 
"Psycholog szkolny"; "Kwidzyn, pomorskie"; "Umowa o pracę na czas określony"; "SZKOŁA SPECJALNA PRZYSPOSABIAJĄCA DO PRACY W KWIDZYNIE"; "2025-07-03"; 
"Psycholog szkolny"; "Sitnica, małopolskie"; "Umowa o pracę na czas nieokreślony"; "Szkoła Podstawowa im. Jana Pawła II w Sitnicy"; "2025-07-03"; 
"Psycholog szkolny"; "Dobrzyca, zachodniopomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-03"; 
"Psycholog szkolny"; "Sułkowice, małopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa Nr 1 im. Adama Mickiewicza w Sułkowicach"; "2025-07-03"; 
"Psycholog szkolny"; "Zamarte, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Marii Konopnickiej w Zamartem"; "2025-07-03"; 
"Psycholog szkolny"; "Dorohusk, lubelskie"; "Umowa o pracę na czas określony"; "Zespół Szkolno - Przedszkolny w Dorohusku"; "2025-07-03"; 
"Psycholog szkolny"; "Dłoń, wielkopolskie"; "Umowa o pracę w zastępstwie"; "ZESPÓŁ SZKÓŁ W DŁONI"; "2025-07-04"; 
"Psycholog szkolny"; "Gogolewo, pomorskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKÓŁ W GOGOLEWIE"; "2025-07-04"; 
"Psycholog szkolny"; "Biecz, małopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa Nr 2 im. Wacława Potockiego w Bieczu"; "2025-07-07"; 
"Psycholog szkolny"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKÓŁ SAMOCHODOWYCH IMIENIA 1 BRYGADY PANCERNEJ IM. BOHATERÓW WESTERPLATTE"; "2025-07-07"; 
"Psycholog szkolny"; "Czartowczyk, lubelskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. WYDARZEŃ WRZEŚNIA W CZARTOWCZYKU"; "2025-07-07"; 
"Psycholog szkolny"; "Watraszew, mazowieckie"; "Umowa o pracę na czas określony"; "PUBLICZNA SZKOŁA PODSTAWOWA IM.KS.TADEUSZA STOKOWSKIEGO"; "2025-07-04"; 
"Psycholog szkolny"; "Grzechynia, małopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. MIKOŁAJA REJA W GRZECHYNI"; "2025-07-08"; 
"Psycholog szkolny"; "Skarszewy, pomorskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKÓŁ PUBLICZNYCH"; "2025-07-08"; 
"Psycholog szkolny"; "Korsze, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Szkoła Podstawowa im. Marii Konopnickiej w Korszach"; "2025-07-08"; 
"Psycholog szkolny"; "Rabka-Zdrój, małopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA NR 1 IM. OBROŃCÓW POCZTY POLSKIEJ W GDAŃSKU W RABCE-ZDROJU"; "2025-07-08"; 
"Psycholog szkolny"; "Huta Dzierążyńska, lubelskie"; "Umowa o pracę na czas określony"; "Stowarzyszenie na Rzecz Rozwoju Gminy Krynice Niepubliczna Szkoła Podstawowa w Hucie Dzierążyńskiej"; "2025-07-08"; 
"Psycholog szkolny"; "Piła, wielkopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA NR 5 IM. DZIECI POLSKICH W PILE"; "2025-07-07"; 
"Psycholog szkolny"; "Skoroszyce, opolskie"; "Umowa o pracę na okres próbny"; "ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W SKOROSZYCACH"; "2025-07-09"; 
"Psycholog szkolny"; "Charsznica, małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-09"; 
"Psycholog szkolny"; "Nowa Wieś, małopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. T. Kościuszki w Nowej Wsi"; "2025-07-10"; 
"Psycholog szkolny"; "Nowy Targ, małopolskie"; "Umowa o pracę w zastępstwie"; "SZKOŁA PODSTAWOWA NR 2 IM. MIKOŁAJA KOPERNIKA W NOWYM TARGU"; "2025-07-10"; 
"Psycholog szkolny"; "Brok, mazowieckie"; "Umowa o pracę na czas określony"; "Zespół Publicznych Placówek Oświatowych w Broku"; "2025-07-09"; 
"Psycholog szkolny"; "Toszek, śląskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. IRENY SENDLER W TOSZKU"; "2025-07-10"; 
"Psycholog szkolny"; "Runowo Krajeńskie, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. E i J Orzelskich w Runowie Kraj."; "2025-07-11"; 
"Psycholog szkolny"; "Wrześnica, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa we Wrześnicy"; "2025-07-14"; 
"Psycholog szkolny"; "Zabiele, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W ZABIELACH"; "2025-07-11"; 
"Psycholog szkolny"; "Podsarnie, małopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. MARII I LECHA KACZYŃSKICH W PODSARNIU"; "2025-07-14"; 
"Psycholog szkolny"; "Waksmund, małopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA W WAKSMUNDZIE"; "2025-07-14"; 
"Psycholog szkolny"; "Stojeszyn Pierwszy, lubelskie"; "Umowa o pracę na czas określony"; "Zespół Placówek Oświatowych w Stojeszynie I"; "2025-07-15"; 
"Psycholog szkolny"; "Czułów, małopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. ANTONIEGO SEWIOŁKA W CZUŁOWIE"; "2025-07-15"; 
"Psycholog szkolny"; "Zakrzów, małopolskie"; "Umowa o pracę na czas nieokreślony"; "Szkoła Podstawowa im. Rotmistrza Witolda Pileckiego w Zakrzowie"; "2025-07-15"; 
"Psycholog szkolny"; "Odolanów, wielkopolskie"; "Umowa o pracę na czas określony"; "Zespół Szkół w Odolanowie"; "2025-07-15"; 
"Psycholog szkolny"; "Kasinka Mała, małopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA NR 2, IM. JULIANA TUWIMA W KASINCE MAŁEJ"; "2025-07-16"; 
"Psycholog szkolny"; "Bobolice, zachodniopomorskie"; "Umowa o pracę na czas nieokreślony"; "Szkola Podstawowa im. Henryka Sienkiewicza w Bobolicach"; "2025-07-16"; 
"Psycholog szkolny"; "Brzeziny, łódzkie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-11"; 
"Psycholog szkolny"; "Jajkowo, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa Jajkowo"; "2025-07-17"; 
"Psycholog szkolny"; "Rudka, podlaskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Jana Pawła II w Rudce"; "2025-07-22"; 
"Psycholog szkolny"; "Nowe Worowo, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa Nowe Worowo"; "2025-07-22"; 
"Psycholog szkolny"; "Niepołomice, małopolskie"; "Umowa o pracę na czas określony"; "Zespół Szkolno-Przedszkolny w Niepołomicach"; "2025-07-22"; 
"Psycholog szkolny"; "Wałdowo, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa w Wałdowie"; "2025-07-23"; 
"Psycholog szkolny"; "Myślenice, małopolskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Ogólnokształcących w Myślenicach"; "2025-07-23"; 
"Psycholog szkolny"; "Przygodziczki, wielkopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Marii Konopnickiej w Przygodziczkach"; "2025-07-23"; 
"Psycholog szkolny"; "Andrychów, małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-24"; 
"Psycholog szkolny"; "Domaszkowice, opolskie"; "Umowa o pracę na czas określony"; "Publiczna Szkoła Podstawowa Stowarzyszenia Przyjaciół Szkół Katolickich im. Św. Urszuli Ledóchowskiej w Domaszkowicach"; "2025-07-24"; 
"Psycholog szkolny"; "Kielce, świętokrzyskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ PLACÓWEK OŚWIATOWYCH NR 1 W KIELCACH"; "2025-07-25"; 
"Psycholog szkolny"; "Raczyce, wielkopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa w Raczycach"; "2025-07-25"; 
"PSYCHOLOG SZKOLNY"; "Bratian, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "Zespół Szkół im. Rodu Działyńskich w Bratianie"; "2025-07-01"; 
"PSYCHOLOG SZKOLNY"; "Skarlin, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA W SKARLINIE"; "2025-07-04"; 
"PSYCHOLOG SZKOLNY"; "Hanulin, wielkopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Janusza Kusocińskiego w Hanulinie"; "2025-07-15"; 
"PSYCHOLOG SZKOLNY"; "Ibramowice, małopolskie"; "Umowa o pracę na czas nieokreślony"; "Szkoła Podstawowa w Ibramowicach"; "2025-07-17"; 
"PSYCHOLOG SZKOLNY"; "Jamielnik, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W JAMIELNIKU"; "2025-07-21"; 
"PSYCHOLOG SZKOLNY"; "Dziergowice, opolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Alfonsa Zgrzebnioka"; "2025-07-23"; 
"Psycholog szkolny - 8/20"; "Faliszówka, podkarpackie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-15"; 
"Psycholog szkolny (dodatkowo nauczyciel współorganizujący kształcenie integracyjne lub/i rewalidant)"; "Kraków, małopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA NR 54 IM. JULIANA TUWIMA W KRAKOWIE"; "2025-06-27"; 
"Psycholog szkolny (Z)"; "Rudka, małopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-08"; 
"Psycholog szkolny 57"; "Franciszków, mazowieckie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Jana Pawła II we Franciszkowie"; "2025-07-08"; 
"Psycholog szkolny K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-10"; 
"Psycholog szkolny K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "KANADYJSKA SZKOŁA PODSTAWOWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-18"; 
"Psycholog szkolny OfPr/25/0965 - StPr/25/0979"; "Raba Niżna, małopolskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ PLACÓWEK OŚWIATOWYCH W RABIE NIŻNEJ"; "2025-07-21"; 
